Team,Median of Non-Penalty Goals,Mean of Non-Penalty Goals,Std of Non-Penalty Goals,Median of Penalty Goals,Mean of Penalty Goals,Std of Penalty Goals,Median of Assists,Mean of Assists,Std of Assists,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Saves,Mean of Saves,Std of Saves,Median of Save%,Mean of Save%,Std of Save%,Median of Sh_x,Mean of Sh_x,Std of Sh_x,Median of SoTA,Mean of SoTA,Std of SoTA,Median of Total Passes,Mean of Total Passes,Std of Total Passes,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of Tkl,Mean of Tkl,Std of Tkl,Median of Int,Mean of Int,Std of Int,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Starts_x,Mean of Starts_x,Std of Starts_x,Median of Yellow Cards,Mean of Yellow Cards,Std of Yellow Cards,Median of Red Cards,Mean of Red Cards,Std of Red Cards
all,0.0,1.6045576407506703,3.3059524318882727,0.0,1.4758713136729222,2.9208957170924488,0.0,1.1514745308310992,2.1705420651066474,0.0,1.0402144772117963,5.292364205165049,0.0,3.280160857908847,17.406488275009686,0.0,3.5088471849865956,15.139288928918047,4.0,13.916890080428955,21.20772453881076,0.0,4.89544235924933,25.778609427822968,274.0,521.5254691689008,634.3848111455661,75.25,59.67868632707775,34.53993722111246,0.3,1.6140750670241286,3.1213407487048195,0.2,1.1613941018766756,1.965763389850853,7.0,17.989276139410187,23.183073963594584,3.0,8.455764075067025,11.94040235258344,0.0,9.0,75.20791551130476,0.0,1.0187667560321716,5.260175471773387,1.0,2.215817694369973,2.7825567286091584,0.0,0.0777479892761394,0.2825830438540216
West Ham,0.0,1.8125,3.5051804978603665,0.0,1.6875,3.4024421968970766,0.0,1.25,2.341766633920198,0.0,1.28125,5.703617273274917,0.0,5.28125,24.555709374873004,0.0,4.390625,17.310603861459803,5.0,13.90625,20.760320985460577,0.0,7.53125,34.23729750319936,248.0,511.65625,580.3690488498704,73.80000000000001,60.087500000000006,33.22202679723392,0.3,1.6468749999999999,2.746021682479066,0.2,1.096875,1.9864840677973996,9.0,21.375,28.834063636720572,3.5,11.28125,14.958511170955916,0.0,23.258064516129032,129.49542276130472,0.0,1.1875,5.578978401105349,1.0,2.5625,3.320877264587117,0.0,0.09375,0.29614458108029906
Brentford,0.0,1.3846153846153846,2.5507004674194746,0.0,1.3076923076923077,2.3525333059205744,0.0,0.9743589743589743,1.4046385466352749,0.0,1.0,5.92496946472256,0.0,3.051282051282051,18.094705125429606,0.0,3.5974358974358975,15.714868708185879,7.0,12.051282051282051,16.928563090619665,0.0,4.717948717948718,28.1779577142253,298.0,431.2307692307692,505.3558132402441,69.4,51.47692307692307,33.394377572299426,0.7,1.5435897435897437,2.6230551564113647,0.5,1.105128205128205,1.38771844519373,10.0,17.358974358974358,20.743403744814344,3.0,9.692307692307692,14.007805805399407,0.0,3.5526315789473686,21.899891852652946,0.0,0.9743589743589743,5.922691331192975,1.0,2.282051282051282,2.7810327308272593,0.0,0.05128205128205128,0.22345586503095893
Arsenal,0.0,2.6875,4.29130779374367,0.0,2.375,3.643376668474877,0.5,1.9375,2.895352226608886,0.0,1.1875,5.7217045734471865,0.0,1.6875,8.062007674390758,0.0,4.137499999999999,16.288027465278827,6.0,20.21875,28.154796044769718,0.0,2.59375,12.367646071700092,364.0,704.9375,830.1827601935496,81.85,65.42500000000001,35.64581140846344,0.5,2.440625,3.88054364124576,0.35,1.746875,2.779763783768036,10.5,19.0625,22.763776403071443,3.5,9.125,11.76311896318045,0.0,17.419354838709676,96.98686309445843,0.0,1.1875,5.7217045734471865,1.0,2.0,2.6150926709046765,0.0,0.0625,0.24593468841898236
Burnley,0.0,1.2121212121212122,1.7811087796225376,0.0,1.121212121212121,1.6347319305771468,0.0,0.9090909090909091,1.1555203471714692,0.0,1.1515151515151516,5.124214647882713,0.0,5.090909090909091,21.08370762633383,0.0,4.4393939393939394,17.84898350386408,7.0,13.030303030303031,14.516122176060074,0.0,7.393939393939394,31.541579099994532,485.0,544.2121212121212,511.25029080528145,75.8,70.48181818181817,20.140715208028464,0.4,1.2454545454545454,1.6684743984196517,0.3,0.8999999999999999,1.0028085560065791,12.0,18.393939393939394,20.08410346819624,4.0,8.484848484848484,10.198410452495809,0.0,28.125,159.0990257669732,0.0,1.1515151515151516,5.124214647882713,1.0,2.3333333333333335,2.868652413009751,0.0,0.21212121212121213,0.41514875026728054
Manchester Utd,0.0,1.3255813953488371,2.661193164483413,0.0,1.186046511627907,2.312036969896051,0.0,0.8372093023255814,1.4789029485872214,0.0,0.8837209302325582,5.794945672638977,0.0,3.395348837209302,22.264791268560277,0.0,1.7418604651162792,11.422142917912094,1.0,12.627906976744185,23.65528558253188,0.0,4.72093023255814,30.957209777518752,192.0,454.3720930232558,554.7254586196248,78.4,55.616279069767444,39.4379858598556,0.0,1.3255813953488371,2.5693331563300728,0.2,0.9372093023255813,1.996428150450551,5.0,15.720930232558139,21.896211437245036,1.0,7.27906976744186,10.62191261899159,0.0,0.0,0.0,0.0,0.8837209302325582,5.794945672638977,1.0,1.930232558139535,2.364371947586457,0.0,0.023255813953488372,0.15249857033260467
Everton,0.0,1.25,1.9176598642195934,0.0,1.1875,1.7494238682971437,0.0,0.53125,1.2696043325738624,0.0,1.1875,6.7175144212722016,0.0,3.65625,20.682873349706515,0.0,2.309375,13.063797782421465,6.5,15.75,19.198454238851895,0.0,5.15625,29.168154723945086,256.0,484.8125,538.7570185157684,67.65,54.41875,33.03218799214468,0.6499999999999999,1.75625,2.8629938649895394,0.65,1.2374999999999998,1.8412390638704634,8.0,23.21875,27.677560929971015,3.0,11.1875,16.027068836311617,0.0,0.0,0.0,0.0,1.1875,6.7175144212722016,1.5,2.5625,3.110206921858125,0.0,0.03125,0.1767766952966369
Sheffield Utd,0.0,0.7045454545454546,1.5786297481064915,0.0,0.5909090909090909,1.3350059980386435,0.0,0.4090909090909091,1.1272147567444324,0.0,0.8863636363636364,4.691486148684454,0.0,3.772727272727273,20.213814797511038,0.0,2.7568181818181823,12.796300296120709,2.0,8.181818181818182,12.544382097127444,0.0,5.9772727272727275,31.815228645797205,138.5,306.77272727272725,377.99550038150994,68.95,56.618181818181824,31.2478633519029,0.2,0.9000000000000002,1.6773456328655174,0.1,0.5931818181818183,1.102301551463758,6.5,16.113636363636363,24.16245011938297,2.5,7.909090909090909,11.193474390097826,0.0,17.930232558139537,117.57639772643817,0.0,0.8636363636363636,4.54737802854138,1.0,2.2954545454545454,3.0083569297027384,0.0,0.11363636363636363,0.3867520743564635
Brighton,0.0,1.2820512820512822,2.1998650430940665,0.0,1.1538461538461537,1.871369629842799,0.0,0.9230769230769231,1.8264808755264772,0.0,0.9743589743589743,4.270382575534713,0.0,2.6923076923076925,11.976190955290033,0.0,3.3487179487179484,14.684862807718412,6.0,14.23076923076923,17.631403709323134,0.0,4.230769230769231,18.537957558623987,454.0,641.7692307692307,825.2172110081863,81.3,64.21282051282053,36.05211271630335,0.4,1.4871794871794872,2.4057146314534488,0.7,1.0794871794871796,1.579170249676357,13.0,16.512820512820515,18.007121098510176,3.0,7.384615384615385,8.875203139603665,0.0,0.0,0.0,0.0,0.9743589743589743,4.270382575534713,2.0,2.3076923076923075,2.3073549011099512,0.0,0.07692307692307693,0.2699527623995085
Bournemouth,0.0,1.4054054054054055,3.5076064920830703,0.0,1.3513513513513513,3.233644454242992,0.0,1.054054054054054,1.4326732190393427,0.0,1.027027027027027,5.283551449159543,0.0,3.4324324324324325,18.14224741152929,0.0,4.9702702702702695,17.734036089848132,2.0,14.567567567567568,23.714201723089126,0.0,5.243243243243243,27.20948099203393,216.0,430.27027027027026,497.59006156611423,72.0,57.53513513513513,31.135262397554392,0.2,1.5486486486486488,3.406661906521595,0.4,1.1054054054054057,1.520041290730461,6.0,18.72972972972973,22.879695812673745,3.0,9.64864864864865,15.11845122912951,0.0,15.0,66.31095578517065,0.0,1.027027027027027,5.283551449159543,1.0,2.135135135135135,2.8004182441810976,0.0,0.08108108108108109,0.2767247306920301
